Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot c,1649,2018,South atlantic,Female,White,High school,Never married,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1650,2018,South atlantic,Female,White,High school,Widowed,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Extrmly conservative,Not applicable,Not applicable,Too little,Too little,Too little,About right,Too much,Too little,Romney,Yes
Ballot a,1651,2018,South atlantic,Female,White,High school,Never married,None,Pretty happy,$20000 - 24999,Strong democrat,Extremely liberal,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1652,2018,South atlantic,Female,White,High school,Never married,Protestant,Pretty happy,$20000 - 24999,Independent,Moderate,No,Favor,About right,Too little,Too little,About right,About right,About right,Not applicable,Yes
Ballot c,1653,2018,South atlantic,Female,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,Not str democrat,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,1654,2018,South atlantic,Female,White,Junior college,Married,Protestant,Very happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,Too little,Too little,Too little,Too much,Too little,Too little,Romney,Yes
Ballot a,1655,2018,South atlantic,Male,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot c,1656,2018,South atlantic,Male,White,High school,Married,Catholic,Very happy,$10000 - 14999,"Ind,near dem",Slghtly conservative,No,Favor,About right,About right,About right,About right,Too much,Too little,Not applicable,Yes
Ballot b,1657,2018,South atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Independent,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1658,2018,South atlantic,Male,White,Graduate,Divorced,Protestant,Pretty happy,$25000 or more,Strong republican,Moderate,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,1659,2018,South atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,Too much,About right,Too little,Too little,Too little,Too little,Obama,Yes
Ballot a,1660,2018,South atlantic,Male,White,Lt high school,Divorced,Protestant,Pretty happy,$20000 - 24999,Strong democrat,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,Yes
Ballot c,1661,2018,South atlantic,Male,White,High school,Divorced,Protestant,Not too happy,Don't know,"Ind,near rep",Moderate,Yes,Favor,Too little,Too little,Too little,Don't know,Don't know,Too little,Not applicable,Yes
Ballot a,1662,2018,South atlantic,Female,White,High school,Divorced,Protestant,Pretty happy,$15000 - 19999,"Ind,near dem",Slghtly conservative,No,Favor,Too little,Too little,Too little,About right,About right,Too little,Romney,Yes
Ballot c,1663,2018,South atlantic,Male,White,High school,Never married,Protestant,Very happy,$25000 or more,Not str democrat,Liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1664,2018,South atlantic,Female,White,Bachelor,Widowed,Catholic,Not too happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Too little,About right,About right,About right,About right,Too little,Romney,Yes
Ballot c,1665,2018,South atlantic,Male,White,Junior college,Divorced,None,Pretty happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,About right,Too little,About right,About right,Too little,Too little,Not applicable,Yes
Ballot b,1666,2018,South atlantic,Female,White,High school,Widowed,Protestant,Not too happy,$8000 to 9999,Not str republican,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1667,2018,South atlantic,Female,White,High school,Widowed,Catholic,Pretty happy,$25000 or more,Strong republican,Moderate,Yes,Favor,About right,About right,Too little,Too little,About right,Too little,Romney,Yes
Ballot b,1668,2018,South atlantic,Female,White,High school,Married,Protestant,Pretty happy,$10000 - 14999,"Ind,near dem",Moderate,Not applicable,Not applicable,Too little,Too little,Too little,Too much,Too much,Too little,Not applicable,No
Ballot a,1669,2018,South atlantic,Male,White,Bachelor,Married,Protestant,Very happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1670,2018,South atlantic,Female,Black,Junior college,Married,Protestant,Very happy,$25000 or more,Not str republican,Conservative,No,Favor,About right,Too little,Too little,Too little,About right,Too much,Not applicable,Yes
Ballot a,1671,2018,South atlantic,Male,White,High school,Never married,Protestant,Not too happy,$25000 or more,Strong democrat,Liberal,Yes,Favor,Too much,Too little,Too little,Don't know,Don't know,Too much,Not applicable,Yes
Ballot c,1672,2018,South atlantic,Female,White,Bachelor,Divorced,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Romney,Yes
Ballot a,1673,2018,South atlantic,Male,White,Bachelor,Married,Protestant,Very happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1674,2018,South atlantic,Male,White,Graduate,Divorced,Catholic,Pretty happy,$25000 or more,Strong republican,Conservative,Yes,Oppose,About right,Too little,About right,About right,About right,Too little,Romney,Yes
Ballot b,1675,2018,South atlantic,Male,White,Graduate,Married,Protestant,Very happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot b,1676,2018,Middle atlantic,Male,White,Bachelor,Divorced,Protestant,Pretty happy,$25000 or more,Not str republican,Slghtly conservative,Not applicable,Not applicable,About right,About right,About right,About right,About right,Too little,Romney,Yes
Ballot b,1677,2018,Middle atlantic,Female,White,High school,Married,Christian,Very happy,$25000 or more,Not str republican,Extrmly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1678,2018,Middle atlantic,Female,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Too little,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot a,1679,2018,Middle atlantic,Male,White,Bachelor,Divorced,Catholic,Pretty happy,$25000 or more,Independent,Don't know,No,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,1680,2018,Middle atlantic,Male,White,High school,Married,Catholic,Pretty happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1681,2018,E. nor. central,Male,White,Bachelor,Married,Orthodox-christian,Very happy,$25000 or more,Strong democrat,Slightly liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1682,2018,E. nor. central,Male,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,No answer,Moderate,Not applicable,Not applicable,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot a,1683,2018,E. nor. central,Male,White,Junior college,Married,None,Very happy,$25000 or more,Other party,Extrmly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1684,2018,E. nor. central,Female,White,High school,Married,Protestant,Very happy,Refused,Strong republican,No answer,Refused,Favor,Too little,Too little,About right,Too little,Too much,Too little,No answer,No
Ballot c,1685,2018,E. nor. central,Female,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1686,2018,E. nor. central,Male,White,Bachelor,Married,None,Very happy,$25000 or more,"Ind,near rep",Conservative,Refused,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Obama,Yes
Ballot c,1687,2018,E. nor. central,Male,White,High school,Never married,Protestant,Not too happy,$25000 or more,Strong democrat,Liberal,Yes,Favor,Too much,Too little,Too little,Too little,Too little,Too little,Not applicable,Yes
Ballot b,1688,2018,E. nor. central,Male,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Romney,Yes
Ballot c,1689,2018,E. nor. central,Female,White,High school,Never married,Protestant,Not too happy,Lt $1000,No answer,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot a,1690,2018,E. nor. central,Male,White,Bachelor,Widowed,Christian,Not too happy,Refused,Independent,Moderate,Yes,Oppose,Too little,About right,Too little,About right,Don't know,Too little,Obama,Yes
Ballot b,1691,2018,E. nor. central,Female,White,Junior college,Divorced,Protestant,Pretty happy,$15000 - 19999,Strong republican,Moderate,Not applicable,Not applicable,About right,Too little,Too little,Too little,About right,About right,Romney,Yes
Ballot a,1692,2018,E. nor. central,Male,White,High school,Married,Catholic,Very happy,Refused,Not str democrat,Slightly liberal,Yes,Favor,About right,Too little,About right,Too much,Too much,Too much,Romney,Yes
Ballot c,1693,2018,E. nor. central,Female,White,Bachelor,Widowed,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,1694,2018,E. nor. central,Female,White,Graduate,Never married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slghtly conservative,Not applicable,Not applicable,About right,Too little,Too little,About right,Too much,Too little,Romney,Yes
Ballot c,1695,2018,E. nor. central,Male,White,Lt high school,Separated,Protestant,Not too happy,$1000 to 2999,Not str democrat,Moderate,No,Oppose,About right,Too little,Too little,Too much,About right,About right,Not applicable,Yes
Ballot a,1696,2018,E. nor. central,Female,White,High school,Divorced,Protestant,Pretty happy,Refused,Strong democrat,Conservative,No,Favor,Too much,Too little,Too little,Don't know,About right,Too little,Obama,Yes
Ballot a,1697,2018,E. nor. central,Female,White,Lt high school,Divorced,Protestant,Pretty happy,$8000 to 9999,Not str democrat,Conservative,No,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,No
Ballot c,1698,2018,E. nor. central,Male,Black,High school,Never married,None,Pretty happy,$3000 to 3999,Independent,Don't know,No,Oppose,Too much,About right,Too little,Too much,About right,About right,Not applicable,Yes
Ballot b,1699,2018,E. nor. central,Female,White,High school,Married,None,Very happy,$10000 - 14999,No answer,No answer,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No answer
Ballot a,1700,2018,E. nor. central,Male,White,High school,Married,None,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Yes,Oppose,Too little,Too little,Too little,Too little,Too little,Too little,Obama,Don't know
Ballot c,1701,2018,E. nor. central,Female,Black,High school,Married,Protestant,Not too happy,$10000 - 14999,Not str democrat,Slightly liberal,No,Favor,Too little,Too little,About right,About right,About right,Too little,Obama,Yes
Ballot a,1702,2018,E. nor. central,Male,White,Bachelor,Divorced,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,About right,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,1703,2018,E. nor. central,Male,Black,High school,Divorced,Protestant,Not too happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,1704,2018,E. nor. central,Female,Black,High school,Never married,None,Pretty happy,$3000 to 3999,Not str democrat,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Don't know
Ballot c,1705,2018,E. nor. central,Male,White,High school,Divorced,Protestant,Very happy,$25000 or more,No answer,Moderate,Yes,Favor,Too little,Too little,Too little,Too much,Too much,About right,Not applicable,Yes
Ballot a,1706,2018,E. nor. central,Male,White,Graduate,Married,Protestant,Very happy,$25000 or more,"Ind,near rep",Conservative,Yes,Oppose,About right,About right,About right,About right,About right,Too little,Romney,Yes
Ballot b,1707,2018,E. nor. central,Male,White,Bachelor,Never married,Other,Pretty happy,$8000 to 9999,"Ind,near rep",Slghtly conservative,Not applicable,Not applicable,About right,About right,Too little,Too little,Too much,Too little,Not applicable,Yes
Ballot b,1708,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,Yes
Ballot a,1709,2018,E. nor. central,Female,Other,Graduate,Married,Jewish,Pretty happy,$25000 or more,Not str democrat,Liberal,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Not applicable,No
Ballot c,1710,2018,E. nor. central,Female,White,Bachelor,Never married,None,Very happy,$1000 to 2999,Other party,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Don't know
Ballot b,1711,2018,E. nor. central,Male,White,High school,Widowed,Christian,Not too happy,$25000 or more,Independent,Slghtly conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,Too much,About right,Not applicable,No
Ballot a,1712,2018,E. nor. central,Female,White,High school,Never married,Catholic,Pretty happy,$4000 to 4999,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1713,2018,E. nor. central,Male,White,Junior college,Never married,Protestant,Pretty happy,$25000 or more,Strong republican,Moderate,No,Favor,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot a,1714,2018,E. nor. central,Female,White,Graduate,Divorced,None,Pretty happy,Refused,Strong democrat,Liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1715,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,Don't know,"Ind,near dem",Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot a,1716,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,$1000 to 2999,"Ind,near dem",Extremely liberal,No,Favor,Too much,Too little,Too little,Too little,Too little,Too little,Not applicable,Don't know
Ballot a,1717,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,$1000 to 2999,Not str democrat,Liberal,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Don't know
Ballot b,1718,2018,E. nor. central,Male,Black,Bachelor,Never married,Protestant,Very happy,$5000 to 5999,Not str democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,1719,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Moderate,No,Favor,About right,About right,Too little,About right,Too much,Too much,Not applicable,Yes
Ballot c,1720,2018,E. nor. central,Female,White,High school,Married,Buddhism,Pretty happy,$20000 - 24999,"Ind,near dem",Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot a,1721,2018,E. nor. central,Female,White,High school,Widowed,None,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1722,2018,E. nor. central,Male,White,High school,Divorced,Catholic,Pretty happy,$25000 or more,Independent,Moderate,No,Oppose,Too little,Too little,Too little,About right,About right,Too little,Not applicable,Yes
Ballot b,1723,2018,E. nor. central,Male,White,Junior college,Married,None,Not too happy,$25000 or more,Strong democrat,Extremely liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot a,1724,2018,E. nor. central,Male,White,Junior college,Never married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Obama,Don't know
Ballot b,1725,2018,E. nor. central,Female,Other,High school,Married,Protestant,Pretty happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,About right,Don't know,Too little,Obama,Yes
Ballot a,1726,2018,E. nor. central,Male,White,Bachelor,Divorced,Orthodox-christian,Pretty happy,$25000 or more,Other party,Slghtly conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,1727,2018,E. nor. central,Male,Black,High school,Divorced,Protestant,Not too happy,$20000 - 24999,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot a,1728,2018,E. nor. central,Female,White,High school,Divorced,None,Pretty happy,$8000 to 9999,"Ind,near dem",Moderate,No,Favor,About right,Too little,Too little,About right,About right,Too little,Romney,No
Ballot c,1729,2018,E. nor. central,Male,White,High school,Never married,Protestant,Not too happy,$10000 - 14999,Not str republican,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1730,2018,E. nor. central,Male,Black,Bachelor,Never married,None,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1731,2018,E. nor. central,Female,White,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,Strong republican,Slghtly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot b,1732,2018,E. nor. central,Female,White,Graduate,Married,Protestant,Very happy,$25000 or more,Not str republican,Slghtly conservative,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,About right,Romney,Yes
Ballot b,1733,2018,E. nor. central,Male,White,High school,Married,Protestant,Very happy,$25000 or more,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,1734,2018,E. nor. central,Female,White,High school,Married,Protestant,Very happy,$25000 or more,Not str republican,Slghtly conservative,Yes,Oppose,Too little,About right,Too little,About right,About right,Too little,Obama,Yes
Ballot b,1735,2018,E. nor. central,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Not str republican,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot a,1736,2018,E. nor. central,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Extrmly conservative,Yes,Favor,Too little,About right,Too much,About right,Too little,Too little,Romney,Yes
Ballot b,1737,2018,E. nor. central,Female,White,High school,Married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,About right,Too little,Too little,Too little,About right,Too much,Obama,No
Ballot a,1738,2018,E. nor. central,Female,White,Bachelor,Married,Protestant,Very happy,$25000 or more,Strong republican,Extrmly conservative,Yes,Favor,Too little,Too little,About right,About right,About right,Too little,Romney,Yes
Ballot c,1739,2018,E. nor. central,Male,White,Bachelor,Never married,Protestant,Not too happy,$25000 or more,"Ind,near dem",Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1740,2018,E. nor. central,Male,White,High school,Divorced,None,Not too happy,$1000 to 2999,Strong republican,Slghtly conservative,No,Favor,Too much,Too little,Too much,Too little,About right,Too much,Not applicable,No
Ballot b,1741,2018,E. nor. central,Female,Black,High school,Never married,Protestant,Pretty happy,$10000 - 14999,Not str democrat,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Don't know
Ballot c,1742,2018,E. nor. central,Female,White,Bachelor,Divorced,Protestant,Pretty happy,$25000 or more,Not str republican,Moderate,Refused,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Don't know,Yes
Ballot a,1743,2018,E. nor. central,Female,Black,Lt high school,Widowed,Protestant,Very happy,Lt $1000,No answer,No answer,No,No answer,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No answer
Ballot c,1744,2018,E. nor. central,Male,White,Graduate,Married,None,Pretty happy,$25000 or more,"Ind,near dem",Slightly liberal,No,Favor,Too much,Too little,Too little,Too little,About right,Too little,Obama,No
Ballot b,1745,2018,E. nor. central,Female,White,Bachelor,Widowed,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Too little,Too little,Too little,About right,Too much,Too much,Obama,Yes
Ballot a,1746,2018,E. nor. central,Female,White,High school,Divorced,Protestant,Pretty happy,$15000 - 19999,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1747,2018,E. nor. central,Male,Black,Lt high school,Never married,Protestant,Very happy,$10000 - 14999,Strong democrat,Extrmly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,1748,2018,E. nor. central,Male,White,High school,Widowed,Protestant,Very happy,$25000 or more,"Ind,near rep",Slghtly conservative,Yes,Favor,Too little,Too little,Don't know,About right,About right,About right,Obama,Yes
Ballot c,1749,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,$20000 - 24999,"Ind,near rep",Moderate,Yes,Favor,Too little,Too little,Too little,About right,About right,Too much,Not applicable,No
Ballot c,1750,2018,E. nor. central,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Strong republican,Extrmly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot a,1751,2018,E. nor. central,Female,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,Not str democrat,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1752,2018,E. nor. central,Female,White,Graduate,Married,Protestant,Very happy,Refused,"Ind,near rep",Slghtly conservative,Yes,Favor,Too little,About right,Too little,Too little,About right,Too little,Obama,Yes
Ballot b,1753,2018,E. nor. central,Female,White,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Not str republican,Conservative,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,About right,Romney,Yes
Ballot a,1754,2018,E. nor. central,Female,White,High school,Widowed,Protestant,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,1755,2018,E. nor. central,Female,White,High school,Widowed,Catholic,Pretty happy,$25000 or more,Other party,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Other candidate (specify),Yes
Ballot b,1756,2018,E. nor. central,Female,White,Bachelor,Married,None,Very happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,Don't know,Too little,Too little,Don't know,Don't know,Too little,Obama,Yes
Ballot a,1757,2018,E. nor. central,Male,White,High school,Married,Protestant,Very happy,$20000 - 24999,"Ind,near dem",Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,1758,2018,E. nor. central,Female,White,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1759,2018,E. nor. central,Female,White,Graduate,Never married,Catholic,Very happy,$1000 to 2999,"Ind,near dem",Moderate,No,Favor,Too much,Too little,Too little,About right,Too much,Too little,Don't know,Yes
Ballot c,1760,2018,E. nor. central,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Strong republican,Extrmly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,1761,2018,E. nor. central,Female,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Extremely liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,About right,Too little,Obama,No
Ballot c,1762,2018,E. nor. central,Female,White,High school,Married,None,Very happy,$25000 or more,"Ind,near dem",Moderate,Yes,Favor,About right,Too little,Too little,About right,About right,About right,Obama,Yes
Ballot b,1763,2018,E. nor. central,Male,White,Bachelor,Married,None,Very happy,Refused,Independent,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Don't know
Ballot c,1764,2018,E. nor. central,Female,White,High school,Widowed,Protestant,Very happy,$25000 or more,Strong republican,Extrmly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,1765,2018,E. nor. central,Male,White,Lt high school,Married,Protestant,Pretty happy,$25000 or more,Not str republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Romney,Yes
Ballot a,1766,2018,E. nor. central,Female,White,High school,Married,None,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1767,2018,E. nor. central,Male,Black,High school,Married,None,Very happy,$25000 or more,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,No
Ballot a,1768,2018,E. nor. central,Female,White,High school,Never married,Catholic,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Oppose,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot c,1769,2018,E. nor. central,Male,White,High school,Married,Catholic,Very happy,$25000 or more,Independent,Don't know,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Don't know
Ballot b,1770,2018,E. nor. central,Male,White,High school,Never married,None,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,About right,Too much,Too little,Not applicable,No
Ballot b,1771,2018,E. nor. central,Male,White,High school,Divorced,None,Very happy,$25000 or more,Independent,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot a,1772,2018,E. nor. central,Female,White,Bachelor,Widowed,None,Very happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Too much,About right,Too little,Too little,Too little,About right,Obama,Don't know
Ballot b,1773,2018,E. nor. central,Female,White,High school,Divorced,Protestant,Pretty happy,$20000 - 24999,"Ind,near rep",Slghtly conservative,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,Too little,Not applicable,Yes
Ballot a,1774,2018,E. nor. central,Female,White,Lt high school,Divorced,None,Pretty happy,$25000 or more,Not str republican,Liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,No
Ballot c,1775,2018,E. nor. central,Male,Other,Lt high school,Married,None,Very happy,$25000 or more,Strong democrat,Liberal,No,Favor,Too much,About right,Too little,About right,About right,Too much,Obama,No
Ballot c,1776,2018,E. nor. central,Male,White,High school,Married,None,Pretty happy,Refused,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
